GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Main_Category,Sub_Category,Detail_Category,CO2 (kt),CH4,N2O,Year
3.  Agriculture,Total national emissions and removals,Agriculture,3.  Agriculture,1295.6701815333859,1009.1230885337585,52.9172088532176,2018
A.  Enteric fermentation,Total national emissions and removals,Agriculture,A.  Enteric fermentation,,848.7702382935869,,2018
B.  Manure management,Total national emissions and removals,Agriculture,B.  Manure management,,152.28122264366718,9.48297588536446,2018
D.  Agricultural soils,Total national emissions and removals,Agriculture,D.  Agricultural soils,,,43.04693070129677,2018
G. Liming,Total national emissions and removals,Agriculture,G. Liming,983.063121106458,,,2018
H. Urea application,Total national emissions and removals,Agriculture,H. Urea application,309.50212192722955,,,2018
J.  Other ,Total national emissions and removals,Agriculture,J.  Other ,3.10493849969847,8.07162759650441,0.38730226655637,2018
"4.  Land use, land-use change and forestry  (4)",Total national emissions and removals,"Land use, land-use change and forestry","4.  Land use, land-use change and forestry  (4)",-5500.418254355141,203.22387203002336,4.97068934803437,2018
A. Forest land (4),Total national emissions and removals,"Land use, land-use change and forestry",A. Forest land (4),-18437.920819136096,4.60305499483541,1.51139821257049,2018
B. Cropland (4),Total national emissions and removals,"Land use, land-use change and forestry",B. Cropland (4),12680.045771334078,11.41052851270245,1.33328765233569,2018
C. Grassland (4),Total national emissions and removals,"Land use, land-use change and forestry",C. Grassland (4),-2483.201363082804,101.09665586318027,0.11380616287991,2018
D. Wetlands (4),Total national emissions and removals,"Land use, land-use change and forestry",D. Wetlands (4),914.617731635056,84.91481874463184,0.0987980934638,2018
E. Settlements (4),Total national emissions and removals,"Land use, land-use change and forestry",E. Settlements (4),3946.2672081821834,0.62104649253556,0.95748215522682,2018
G. Harvested wood products ,Total national emissions and removals,"Land use, land-use change and forestry",G. Harvested wood products ,-2120.226783287557,,,2018
H. Other  (4),Total national emissions and removals,"Land use, land-use change and forestry",H. Other  (4),,0.57776742213784,0.37696095780435,2018
5.  Waste,Total national emissions and removals,Waste,5.  Waste,305.8660426724512,694.1777914495373,5.79101490908265,2018
A.  Solid waste disposal (5),Total national emissions and removals,Waste,A.  Solid waste disposal (5),,573.8642933769015,,2018
B.  Biological treatment of solid waste (5),Total national emissions and removals,Waste,B.  Biological treatment of solid waste (5),,46.53027286999906,2.37479715153127,2018
C.  Incineration and open burning of waste (5),Total national emissions and removals,Waste,C.  Incineration and open burning of waste (5),305.8660426724512,2.14114993934436,0.17451286820706,2018
D.  Wastewater treatment and discharge,Total national emissions and removals,Waste,D.  Wastewater treatment and discharge,,71.64207526329228,3.24170488934432,2018
