GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Main_Category,Sub_Category,Detail_Category,CO2 (kt),CH4,N2O,Year
"4.  Land use, land-use change and forestry  (4)",Total national emissions and removals,"Land use, land-use change and forestry","4.  Land use, land-use change and forestry  (4)",2374.4276213895605,198.31694951960333,7.06894699115106,1992
A. Forest land (4),Total national emissions and removals,"Land use, land-use change and forestry",A. Forest land (4),-14953.63368924997,3.55602412678311,1.62626650274136,1992
B. Cropland (4),Total national emissions and removals,"Land use, land-use change and forestry",B. Cropland (4),14195.849688742212,11.85577733041764,2.44574507006692,1992
C. Grassland (4),Total national emissions and removals,"Land use, land-use change and forestry",C. Grassland (4),-806.9337463717778,99.57610091467954,0.0820383199192,1992
D. Wetlands (4),Total national emissions and removals,"Land use, land-use change and forestry",D. Wetlands (4),649.5706225756257,82.66484582387669,0.0708496152824,1992
E. Settlements (4),Total national emissions and removals,"Land use, land-use change and forestry",E. Settlements (4),5220.711293515785,0.13307742541389,1.42639031861799,1992
G. Harvested wood products ,Total national emissions and removals,"Land use, land-use change and forestry",G. Harvested wood products ,-1931.1365478223136,,,1992
H. Other  (4),Total national emissions and removals,"Land use, land-use change and forestry",H. Other  (4),,0.53112389843246,0.42126457987319,1992
5.  Waste,Total national emissions and removals,Waste,5.  Waste,1408.0338995909156,2539.285596165915,3.46097799976552,1992
A.  Solid waste disposal (5),Total national emissions and removals,Waste,A.  Solid waste disposal (5),,2442.9709087605693,,1992
B.  Biological treatment of solid waste (5),Total national emissions and removals,Waste,B.  Biological treatment of solid waste (5),,2.61737858797067,0.15678573666652,1992
C.  Incineration and open burning of waste (5),Total national emissions and removals,Waste,C.  Incineration and open burning of waste (5),1408.0338995909156,7.19584319271656,0.22181650552134,1992
D.  Wastewater treatment and discharge,Total national emissions and removals,Waste,D.  Wastewater treatment and discharge,,86.50146562465844,3.08237575757766,1992
3.  Agriculture,Total national emissions and removals,Agriculture,3.  Agriculture,1109.19082472245,1162.470598135969,59.41626776781218,1993
A.  Enteric fermentation,Total national emissions and removals,Agriculture,A.  Enteric fermentation,,984.1454650977182,,1993
B.  Manure management,Total national emissions and removals,Agriculture,B.  Manure management,,167.4183534291007,11.39406334079226,1993
D.  Agricultural soils,Total national emissions and removals,Agriculture,D.  Agricultural soils,,,47.45275962672041,1993
F.  Field burning of agricultural residues,Total national emissions and removals,Agriculture,F.  Field burning of agricultural residues,,0.1603986102603,0.00415848248823,1993
G. Liming,Total national emissions and removals,Agriculture,G. Liming,890.4238392064632,,,1993
H. Urea application,Total national emissions and removals,Agriculture,H. Urea application,215.5353833925925,,,1993
J.  Other ,Total national emissions and removals,Agriculture,J.  Other ,3.23160212339415,10.74638099888986,0.56528631781128,1993
"4.  Land use, land-use change and forestry  (4)",Total national emissions and removals,"Land use, land-use change and forestry","4.  Land use, land-use change and forestry  (4)",1813.7736674374844,198.1551354702636,6.99454560768628,1993
A. Forest land (4),Total national emissions and removals,"Land use, land-use change and forestry",A. Forest land (4),-15337.25405973761,3.63710682755178,1.61652959209272,1993
B. Cropland (4),Total national emissions and removals,"Land use, land-use change and forestry",B. Cropland (4),14342.844143492755,11.84100118030523,2.42666718951274,1993
C. Grassland (4),Total national emissions and removals,"Land use, land-use change and forestry",C. Grassland (4),-963.8176831323826,99.32783870186962,0.08112891815813,1993
D. Wetlands (4),Total national emissions and removals,"Land use, land-use change and forestry",D. Wetlands (4),632.1094414084321,82.68938008177302,0.07062221718047,1993
E. Settlements (4),Total national emissions and removals,"Land use, land-use change and forestry",E. Settlements (4),5126.087215896041,0.1321715687805,1.39957274253058,1993
G. Harvested wood products ,Total national emissions and removals,"Land use, land-use change and forestry",G. Harvested wood products ,-1986.195390489751,,,1993
H. Other  (4),Total national emissions and removals,"Land use, land-use change and forestry",H. Other  (4),,0.5276371099834,0.42028529800857,1993
5.  Waste,Total national emissions and removals,Waste,5.  Waste,1357.3670305573405,2561.8922034546567,3.50481161548283,1993
A.  Solid waste disposal (5),Total national emissions and removals,Waste,A.  Solid waste disposal (5),,2464.302834501633,,1993
B.  Biological treatment of solid waste (5),Total national emissions and removals,Waste,B.  Biological treatment of solid waste (5),,3.53549308624696,0.2118726065631,1993
C.  Incineration and open burning of waste (5),Total national emissions and removals,Waste,C.  Incineration and open burning of waste (5),1357.3670305573405,6.60562851753323,0.2251593162487,1993
D.  Wastewater treatment and discharge,Total national emissions and removals,Waste,D.  Wastewater treatment and discharge,,87.44824734924349,3.06777969267103,1993
3.  Agriculture,Total national emissions and removals,Agriculture,3.  Agriculture,1112.3078198511855,1167.9954749871033,61.46111013501815,1994
A.  Enteric fermentation,Total national emissions and removals,Agriculture,A.  Enteric fermentation,,986.8828240738336,,1994
B.  Manure management,Total national emissions and removals,Agriculture,B.  Manure management,,170.27113370271204,11.4598945082763,1994
D.  Agricultural soils,Total national emissions and removals,Agriculture,D.  Agricultural soils,,,49.42064659652281,1994
G. Liming,Total national emissions and removals,Agriculture,G. Liming,890.6279511511387,,,1994
H. Urea application,Total national emissions and removals,Agriculture,H. Urea application,218.43227507866808,,,1994
J.  Other ,Total national emissions and removals,Agriculture,J.  Other ,3.24759362137874,10.84151721055771,0.58056903021904,1994
"4.  Land use, land-use change and forestry  (4)",Total national emissions and removals,"Land use, land-use change and forestry","4.  Land use, land-use change and forestry  (4)",1427.8593689810348,197.84947075569613,6.92214208076699,1994
A. Forest land (4),Total national emissions and removals,"Land use, land-use change and forestry",A. Forest land (4),-15336.225273423004,3.6585712735602,1.62291433856009,1994
B. Cropland (4),Total national emissions and removals,"Land use, land-use change and forestry",B. Cropland (4),14325.319961073012,11.82387847452392,2.38961724135211,1994
C. Grassland (4),Total national emissions and removals,"Land use, land-use change and forestry",C. Grassland (4),-1134.5017252780513,98.99123323767036,0.07919828709115,1994
D. Wetlands (4),Total national emissions and removals,"Land use, land-use change and forestry",D. Wetlands (4),739.4394465041241,82.71388289004078,0.07039436836406,1994
E. Settlements (4),Total national emissions and removals,"Land use, land-use change and forestry",E. Settlements (4),5038.654028895878,0.13722761590726,1.37632539822753,1994
G. Harvested wood products ,Total national emissions and removals,"Land use, land-use change and forestry",G. Harvested wood products ,-2204.827068790923,,,1994
H. Other  (4),Total national emissions and removals,"Land use, land-use change and forestry",H. Other  (4),,0.52467726399359,0.41907777772059,1994
5.  Waste,Total national emissions and removals,Waste,5.  Waste,1163.283836442643,2583.721209193771,3.55290797548022,1994
A.  Solid waste disposal (5),Total national emissions and removals,Waste,A.  Solid waste disposal (5),,2485.76101426558,,1994
B.  Biological treatment of solid waste (5),Total national emissions and removals,Waste,B.  Biological treatment of solid waste (5),,4.45694115606957,0.26697915488458,1994
C.  Incineration and open burning of waste (5),Total national emissions and removals,Waste,C.  Incineration and open burning of waste (5),1163.283836442643,5.54357836460628,0.19851815468029,1994
D.  Wastewater treatment and discharge,Total national emissions and removals,Waste,D.  Wastewater treatment and discharge,,87.95967540751506,3.08741066591535,1994
3.  Agriculture,Total national emissions and removals,Agriculture,3.  Agriculture,1093.2274909132848,1159.731679920137,61.58462754924615,1995
A.  Enteric fermentation,Total national emissions and removals,Agriculture,A.  Enteric fermentation,,980.3848737068556,,1995
B.  Manure management,Total national emissions and removals,Agriculture,B.  Manure management,,168.49802033592374,11.4358865254303,1995
D.  Agricultural soils,Total national emissions and removals,Agriculture,D.  Agricultural soils,,,49.57119364145385,1995
G. Liming,Total national emissions and removals,Agriculture,G. Liming,911.7815067764476,,,1995
H. Urea application,Total national emissions and removals,Agriculture,H. Urea application,178.4050347589481,,,1995
J.  Other ,Total national emissions and removals,Agriculture,J.  Other ,3.04094937788912,10.84878587735754,0.577547382362,1995
"4.  Land use, land-use change and forestry  (4)",Total national emissions and removals,"Land use, land-use change and forestry","4.  Land use, land-use change and forestry  (4)",1447.5452364683065,198.2170685091936,6.87091222859905,1995
A. Forest land (4),Total national emissions and removals,"Land use, land-use change and forestry",A. Forest land (4),-15430.666441632891,4.31218729165746,1.6570625732606,1995
B. Cropland (4),Total national emissions and removals,"Land use, land-use change and forestry",B. Cropland (4),14519.87560537917,11.80148879974863,2.34969196346795,1995
C. Grassland (4),Total national emissions and removals,"Land use, land-use change and forestry",C. Grassland (4),-1154.043982499684,98.71752182926618,0.07815970142156,1995
D. Wetlands (4),Total national emissions and removals,"Land use, land-use change and forestry",D. Wetlands (4),826.0298291340741,82.7383542486802,0.07016606883313,1995
E. Settlements (4),Total national emissions and removals,"Land use, land-use change and forestry",E. Settlements (4),4956.6301202531085,0.12674713210852,1.3513244357025,1995
