GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Main_Category,Sub_Category,Detail_Category,CO2 (kt),CH4,N2O,Year
3.  Agriculture,Total national emissions and removals,Agriculture,3.  Agriculture,1275.1150913195302,1028.7537209867917,53.6190739646571,2017
A.  Enteric fermentation,Total national emissions and removals,Agriculture,A.  Enteric fermentation,,865.9848543744228,,2017
B.  Manure management,Total national emissions and removals,Agriculture,B.  Manure management,,154.33807580374682,9.60527494523809,2017
D.  Agricultural soils,Total national emissions and removals,Agriculture,D.  Agricultural soils,,,43.611544543846,2017
G. Liming,Total national emissions and removals,Agriculture,G. Liming,933.7029908357638,,,2017
H. Urea application,Total national emissions and removals,Agriculture,H. Urea application,338.2827057553477,,,2017
J.  Other ,Total national emissions and removals,Agriculture,J.  Other ,3.12939472841858,8.43079080862197,0.40225447557301,2017
"4.  Land use, land-use change and forestry  (4)",Total national emissions and removals,"Land use, land-use change and forestry","4.  Land use, land-use change and forestry  (4)",-6055.538395659391,201.36747609369752,4.92945080379635,2017
A. Forest land (4),Total national emissions and removals,"Land use, land-use change and forestry",A. Forest land (4),-18645.338935545595,3.81916395358011,1.48352082629489,2017
B. Cropland (4),Total national emissions and removals,"Land use, land-use change and forestry",B. Cropland (4),12763.635210709539,11.41850180119815,1.35546302321695,2017
C. Grassland (4),Total national emissions and removals,"Land use, land-use change and forestry",C. Grassland (4),-2307.0384522374875,100.82853222747325,0.11136370576694,2017
D. Wetlands (4),Total national emissions and removals,"Land use, land-use change and forestry",D. Wetlands (4),563.3149508289135,84.21273969435212,0.07533254508108,2017
E. Settlements (4),Total national emissions and removals,"Land use, land-use change and forestry",E. Settlements (4),3807.25025742762,0.51956448390646,0.94097490713751,2017
G. Harvested wood products ,Total national emissions and removals,"Land use, land-use change and forestry",G. Harvested wood products ,-2237.361426842383,,,2017
H. Other  (4),Total national emissions and removals,"Land use, land-use change and forestry",H. Other  (4),,0.56897393318741,0.37876232086528,2017
5.  Waste,Total national emissions and removals,Waste,5.  Waste,311.80816638370766,691.612189319218,5.8767463264186,2017
A.  Solid waste disposal (5),Total national emissions and removals,Waste,A.  Solid waste disposal (5),,570.5713471972106,,2017
B.  Biological treatment of solid waste (5),Total national emissions and removals,Waste,B.  Biological treatment of solid waste (5),,47.41973475625791,2.41959378334363,2017
C.  Incineration and open burning of waste (5),Total national emissions and removals,Waste,C.  Incineration and open burning of waste (5),311.80816638370766,2.13338301522168,0.19681128781415,2017
D.  Wastewater treatment and discharge,Total national emissions and removals,Waste,D.  Wastewater treatment and discharge,,71.4877243505279,3.26034125526082,2017
