GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Main_Category,Sub_Category,Detail_Category,CO2 (kt),CH4,N2O,Year
3.  Agriculture,Total national emissions and removals,Agriculture,3.  Agriculture,1376.6359638182955,1025.053428581092,52.45198444163456,2016
A.  Enteric fermentation,Total national emissions and removals,Agriculture,A.  Enteric fermentation,,862.6015769121444,,2016
B.  Manure management,Total national emissions and removals,Agriculture,B.  Manure management,,154.043630916629,9.64372940423149,2016
D.  Agricultural soils,Total national emissions and removals,Agriculture,D.  Agricultural soils,,,42.41200435358408,2016
G. Liming,Total national emissions and removals,Agriculture,G. Liming,1016.3590527362205,,,2016
H. Urea application,Total national emissions and removals,Agriculture,H. Urea application,357.10939029454903,,,2016
J.  Other ,Total national emissions and removals,Agriculture,J.  Other ,3.16752078752586,8.40822075231844,0.39625068381899,2016
"4.  Land use, land-use change and forestry  (4)",Total national emissions and removals,"Land use, land-use change and forestry","4.  Land use, land-use change and forestry  (4)",-5811.491987096886,201.40301899602568,4.98562231511114,2016
A. Forest land (4),Total national emissions and removals,"Land use, land-use change and forestry",A. Forest land (4),-18612.501247610307,3.84761821400323,1.50398052052317,2016
B. Cropland (4),Total national emissions and removals,"Land use, land-use change and forestry",B. Cropland (4),12804.1919389026,11.43433748969385,1.36998167389995,2016
C. Grassland (4),Total national emissions and removals,"Land use, land-use change and forestry",C. Grassland (4),-2137.299233707546,100.68044180760802,0.11299810586015,2016
D. Wetlands (4),Total national emissions and removals,"Land use, land-use change and forestry",D. Wetlands (4),610.9892825433128,84.20891709291303,0.07667420413525,2016
E. Settlements (4),Total national emissions and removals,"Land use, land-use change and forestry",E. Settlements (4),3945.808059079469,0.67121959856712,0.95074624253396,2016
G. Harvested wood products ,Total national emissions and removals,"Land use, land-use change and forestry",G. Harvested wood products ,-2422.680786304414,,,2016
H. Other  (4),Total national emissions and removals,"Land use, land-use change and forestry",H. Other  (4),,0.56048479324044,0.37999430114148,2016
5.  Waste,Total national emissions and removals,Waste,5.  Waste,324.04636483793655,678.5160977002844,5.6841749191837,2016
A.  Solid waste disposal (5),Total national emissions and removals,Waste,A.  Solid waste disposal (5),,563.3561323595386,,2016
B.  Biological treatment of solid waste (5),Total national emissions and removals,Waste,B.  Biological treatment of solid waste (5),,45.39109961130904,2.32535751205687,2016
C.  Incineration and open burning of waste (5),Total national emissions and removals,Waste,C.  Incineration and open burning of waste (5),324.04636483793655,2.13249216230455,0.21249156986937,2016
D.  Wastewater treatment and discharge,Total national emissions and removals,Waste,D.  Wastewater treatment and discharge,,67.6363735671322,3.14632583725746,2016
