GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Main_Category,Sub_Category,Detail_Category,CO2 (kt),CH4,N2O,Year
3.  Agriculture,Total national emissions and removals,Agriculture,3.  Agriculture,1353.8623662367504,997.1828805333967,49.97617790549848,2020
A.  Enteric fermentation,Total national emissions and removals,Agriculture,A.  Enteric fermentation,,837.4387572321564,,2020
B.  Manure management,Total national emissions and removals,Agriculture,B.  Manure management,,151.82418440050117,9.35024990600951,2020
D.  Agricultural soils,Total national emissions and removals,Agriculture,D.  Agricultural soils,,,40.25135986335876,2020
G. Liming,Total national emissions and removals,Agriculture,G. Liming,1117.2841604349264,,,2020
H. Urea application,Total national emissions and removals,Agriculture,H. Urea application,233.629744150685,,,2020
J.  Other ,Total national emissions and removals,Agriculture,J.  Other ,2.94846165113887,7.91993890073907,0.37456813613021,2020
"4.  Land use, land-use change and forestry  (4)",Total national emissions and removals,"Land use, land-use change and forestry","4.  Land use, land-use change and forestry  (4)",-5733.976000299713,203.33527186732306,4.90396596828234,2020
A. Forest land (4),Total national emissions and removals,"Land use, land-use change and forestry",A. Forest land (4),-18195.109679221532,4.19411200194347,1.4596118938672,2020
B. Cropland (4),Total national emissions and removals,"Land use, land-use change and forestry",B. Cropland (4),12696.554988584574,11.37231233571105,1.33716159182762,2020
C. Grassland (4),Total national emissions and removals,"Land use, land-use change and forestry",C. Grassland (4),-2659.7882728360014,101.75945072896464,0.11131243637064,2020
D. Wetlands (4),Total national emissions and removals,"Land use, land-use change and forestry",D. Wetlands (4),613.5926518624914,85.01393151223442,0.08233794073611,2020
E. Settlements (4),Total national emissions and removals,"Land use, land-use change and forestry",E. Settlements (4),3804.910297143161,0.40128448343558,0.96249799454904,2020
G. Harvested wood products ,Total national emissions and removals,"Land use, land-use change and forestry",G. Harvested wood products ,-1994.1359858324029,,,2020
H. Other  (4),Total national emissions and removals,"Land use, land-use change and forestry",H. Other  (4),,0.59418080503391,0.37210340824343,2020
5.  Waste,Total national emissions and removals,Waste,5.  Waste,306.22363852389003,629.4718664723728,5.84192187887006,2020
A.  Solid waste disposal (5),Total national emissions and removals,Waste,A.  Solid waste disposal (5),,516.5377010712563,,2020
B.  Biological treatment of solid waste (5),Total national emissions and removals,Waste,B.  Biological treatment of solid waste (5),,46.0516275763976,2.33211658658084,2020
C.  Incineration and open burning of waste (5),Total national emissions and removals,Waste,C.  Incineration and open burning of waste (5),306.22363852389003,2.08770871888172,0.13558385186172,2020
D.  Wastewater treatment and discharge,Total national emissions and removals,Waste,D.  Wastewater treatment and discharge,,64.7948291058372,3.3742214404275,2020
