GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Main_Category,Sub_Category,Detail_Category,CO2 (kt),CH4,N2O,Year
3.  Agriculture,Total national emissions and removals,Agriculture,3.  Agriculture,1570.3225281620612,1081.377448128633,54.98736285553965,2005
A.  Enteric fermentation,Total national emissions and removals,Agriculture,A.  Enteric fermentation,,914.4122927821281,,2005
B.  Manure management,Total national emissions and removals,Agriculture,B.  Manure management,,156.92611791529484,10.69273070061971,2005
D.  Agricultural soils,Total national emissions and removals,Agriculture,D.  Agricultural soils,,,43.82048743001639,2005
G. Liming,Total national emissions and removals,Agriculture,G. Liming,1380.4510049826836,,,2005
H. Urea application,Total national emissions and removals,Agriculture,H. Urea application,186.73766674111198,,,2005
J.  Other ,Total national emissions and removals,Agriculture,J.  Other ,3.13385643826553,10.03903743121003,0.47414472490355,2005
"4.  Land use, land-use change and forestry  (4)",Total national emissions and removals,"Land use, land-use change and forestry","4.  Land use, land-use change and forestry  (4)",-3616.9083917041617,198.65009710115555,5.79764564956108,2005
A. Forest land (4),Total national emissions and removals,"Land use, land-use change and forestry",A. Forest land (4),-18455.910628150395,4.18446197689059,1.69955163165819,2005
B. Cropland (4),Total national emissions and removals,"Land use, land-use change and forestry",B. Cropland (4),13449.900576097429,11.62578089413016,1.68341014582452,2005
C. Grassland (4),Total national emissions and removals,"Land use, land-use change and forestry",C. Grassland (4),-1053.1037412172716,98.63017181744254,0.10629713074481,2005
D. Wetlands (4),Total national emissions and removals,"Land use, land-use change and forestry",D. Wetlands (4),698.3373518018684,83.42600739176159,0.07442770232855,2005
E. Settlements (4),Total national emissions and removals,"Land use, land-use change and forestry",E. Settlements (4),4151.669118742511,0.26094102818831,1.09653876848502,2005
G. Harvested wood products ,Total national emissions and removals,"Land use, land-use change and forestry",G. Harvested wood products ,-2407.801068978303,,,2005
H. Other  (4),Total national emissions and removals,"Land use, land-use change and forestry",H. Other  (4),,0.52273399274237,0.4010212686535,2005
5.  Waste,Total national emissions and removals,Waste,5.  Waste,539.2044098749911,1839.173091480709,4.3554145459438,2005
A.  Solid waste disposal (5),Total national emissions and removals,Waste,A.  Solid waste disposal (5),,1755.5843076900198,,2005
B.  Biological treatment of solid waste (5),Total national emissions and removals,Waste,B.  Biological treatment of solid waste (5),,15.53698462657834,0.92197734259317,2005
C.  Incineration and open burning of waste (5),Total national emissions and removals,Waste,C.  Incineration and open burning of waste (5),539.2044098749911,2.73180311879361,0.28891840011885,2005
D.  Wastewater treatment and discharge,Total national emissions and removals,Waste,D.  Wastewater treatment and discharge,,65.3199960453172,3.14451880323178,2005
