GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),Sheet,Country,Year,Level,Parent_Sector,HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt)
C.  Metal industry,75.688,0.85149,,Summary1.As1,BLR,1993,Subsector,2.  Industrial processes and product use,,,
D.  Non-energy products from fuels and solvent use ,4.2197672,,,Summary1.As1,BLR,1993,Subsector,2.  Industrial processes and product use,,,
G.  Other product manufacture and use ,,,0.214,Summary1.As1,BLR,1993,Subsector,2.  Industrial processes and product use,,,
H.  Other(3),,,,Summary1.As1,BLR,1993,Subsector,2.  Industrial processes and product use,,,
A. Fuel combustion     Reference approach(2),62925.44012608681,,,Summary1.As1,BLR,1994,Subsector,1. Energy,,,
                                           Sectoral approach(2),64095.3771865,13.741607364,1.889185666,Summary1.As1,BLR,1994,Subsector,1. Energy,,,
1.  Energy industries,41808.7009625,1.08201031,0.204581864,Summary1.As1,BLR,1994,Subsector,1. Energy,,,
2.  Manufacturing industries and construction                          ,4407.809058999999,0.15042608,0.027414056,Summary1.As1,BLR,1994,Subsector,1. Energy,,,
3.  Transport,7103.74478,1.883433264,0.743186454,Summary1.As1,BLR,1994,Subsector,1. Energy,,,
4.  Other sectors,9905.314326,9.88814911,0.907234424,Summary1.As1,BLR,1994,Subsector,1. Energy,,,
5.  Other,869.8080589999998,0.7375886,0.006768868,Summary1.As1,BLR,1994,Subsector,1. Energy,,,
B. Fugitive emissions from fuels,6.54125973420051,105.61413822018348,1.444e-06,Summary1.As1,BLR,1994,Subsector,1. Energy,,,
2.  Oil and natural gas and other emissions from energy production,6.54125973420051,105.61413822018348,1.444e-06,Summary1.As1,BLR,1994,Subsector,1. Energy,,,
A.  Mineral industry,1401.3501258767344,,,Summary1.As1,BLR,1994,Subsector,1. Energy,,,
C.  Metal industry,70.4,0.792,,Summary1.As1,BLR,1994,Subsector,2.  Industrial processes and product use,,,
D.  Non-energy products from fuels and solvent use ,5.25294293333333,,,Summary1.As1,BLR,1994,Subsector,2.  Industrial processes and product use,,,
G.  Other product manufacture and use ,,,0.207,Summary1.As1,BLR,1994,Subsector,2.  Industrial processes and product use,,,
H.  Other(3),,,,Summary1.As1,BLR,1994,Subsector,2.  Industrial processes and product use,,,
A. Fuel combustion     Reference approach(2),52360.23798628667,,,Summary1.As1,BLR,1995,Subsector,1. Energy,,,
                                           Sectoral approach(2),56860.111495,13.1495855995,1.71569073,Summary1.As1,BLR,1995,Subsector,1. Energy,,,
1.  Energy industries,36037.892864,0.9162555,0.176672,Summary1.As1,BLR,1995,Subsector,1. Energy,,,
2.  Manufacturing industries and construction                          ,3628.1599405,0.12470277,0.022354742,Summary1.As1,BLR,1995,Subsector,1. Energy,,,
3.  Transport,6932.4661175,1.8803786795,0.688826454,Summary1.As1,BLR,1995,Subsector,1. Energy,,,
4.  Other sectors,9302.9750245,9.54663695,0.820636112,Summary1.As1,BLR,1995,Subsector,1. Energy,,,
5.  Other,958.6175485,0.6816117,0.007201422,Summary1.As1,BLR,1995,Subsector,1. Energy,,,
B. Fugitive emissions from fuels,6.29227188265853,100.70312812844035,1.444e-06,Summary1.As1,BLR,1995,Subsector,1. Energy,,,
2.  Oil and natural gas and other emissions from energy production,6.29227188265853,100.70312812844035,1.444e-06,Summary1.As1,BLR,1995,Subsector,1. Energy,,,
A.  Mineral industry,1143.7189488714453,,,Summary1.As1,BLR,1995,Subsector,1. Energy,,,
C.  Metal industry,59.512,0.66951,,Summary1.As1,BLR,1995,Subsector,2.  Industrial processes and product use,,,
D.  Non-energy products from fuels and solvent use ,6.28611866666667,,,Summary1.As1,BLR,1995,Subsector,2.  Industrial processes and product use,,,
E.  Electronic industry ,,,,Summary1.As1,BLR,1995,Subsector,2.  Industrial processes and product use,3.08533995,18.680237793756,0.0002079
F.  Product uses as substitutes for ODS,,,,Summary1.As1,BLR,1995,Subsector,2.  Industrial processes and product use,0.798904988319,,
G.  Other product manufacture and use ,,,0.201,Summary1.As1,BLR,1995,Subsector,2.  Industrial processes and product use,,,7.5e-08
H.  Other(3),,,,Summary1.As1,BLR,1995,Subsector,2.  Industrial processes and product use,,,
A. Fuel combustion     Reference approach(2),55072.342934747314,,,Summary1.As1,BLR,1996,Subsector,1. Energy,,,
