GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),Sheet,Country,Year,Level,Parent_Sector,HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt)
C.  Metal industry,135.52,1.5246,,Summary1.As1,BLR,2004,Subsector,2.  Industrial processes and product use,,,
D.  Non-energy products from fuels and solvent use ,8.36909881866667,,,Summary1.As1,BLR,2004,Subsector,2.  Industrial processes and product use,,,
E.  Electronic industry ,,,,Summary1.As1,BLR,2004,Subsector,2.  Industrial processes and product use,3.08533995,18.680237793756,0.0002079
F.  Product uses as substitutes for ODS,,,,Summary1.As1,BLR,2004,Subsector,2.  Industrial processes and product use,26.05965022239516,,
G.  Other product manufacture and use ,,,0.261,Summary1.As1,BLR,2004,Subsector,2.  Industrial processes and product use,,,1.073e-05
H.  Other(3),,,,Summary1.As1,BLR,2004,Subsector,2.  Industrial processes and product use,,,
A. Fuel combustion     Reference approach(2),50118.82391131851,,,Summary1.As1,BLR,2005,Subsector,1. Energy,,,
                                           Sectoral approach(2),53566.5570725,15.27037902945,1.7392459518,Summary1.As1,BLR,2005,Subsector,1. Energy,,,
1.  Energy industries,33566.0789445,1.12075399,0.15541402,Summary1.As1,BLR,2005,Subsector,1. Energy,,,
2.  Manufacturing industries and construction                          ,3896.169103,0.14989,0.020334618,Summary1.As1,BLR,2005,Subsector,1. Energy,,,
3.  Transport,7856.340184,1.79557449945,0.6313504818,Summary1.As1,BLR,2005,Subsector,1. Energy,,,
4.  Other sectors,6614.421501,11.61248304,0.920682586,Summary1.As1,BLR,2005,Subsector,1. Energy,,,
5.  Other,1633.54734,0.5916775,0.011464246,Summary1.As1,BLR,2005,Subsector,1. Energy,,,
B. Fugitive emissions from fuels,6.6013739627555,111.83169683908255,9.0288e-07,Summary1.As1,BLR,2005,Subsector,1. Energy,,,
2.  Oil and natural gas and other emissions from energy production,6.6013739627555,111.83169683908255,9.0288e-07,Summary1.As1,BLR,2005,Subsector,1. Energy,,,
A.  Mineral industry,2307.755919836156,,,Summary1.As1,BLR,2005,Subsector,1. Energy,,,
C.  Metal industry,166.04,1.86795,,Summary1.As1,BLR,2005,Subsector,2.  Industrial processes and product use,,,
D.  Non-energy products from fuels and solvent use ,12.7435507232,,,Summary1.As1,BLR,2005,Subsector,2.  Industrial processes and product use,,,
E.  Electronic industry ,,,,Summary1.As1,BLR,2005,Subsector,2.  Industrial processes and product use,3.08533995,18.680237793756,0.0002079
F.  Product uses as substitutes for ODS,,,,Summary1.As1,BLR,2005,Subsector,2.  Industrial processes and product use,30.70887206994491,,
G.  Other product manufacture and use ,,,0.223,Summary1.As1,BLR,2005,Subsector,2.  Industrial processes and product use,,,1.55e-05
H.  Other(3),,,,Summary1.As1,BLR,2005,Subsector,2.  Industrial processes and product use,,,
A. Fuel combustion     Reference approach(2),53002.98348708884,,,Summary1.As1,BLR,2006,Subsector,1. Energy,,,
                                           Sectoral approach(2),55800.9393995,16.45218362945,1.8996877798,Summary1.As1,BLR,2006,Subsector,1. Energy,,,
1.  Energy industries,34197.313164,1.20044518,0.165999426,Summary1.As1,BLR,2006,Subsector,1. Energy,,,
2.  Manufacturing industries and construction                          ,3861.045526,0.15458794,0.020936042,Summary1.As1,BLR,2006,Subsector,1. Energy,,,
3.  Transport,9216.479921,1.98217311945,0.7052193818,Summary1.As1,BLR,2006,Subsector,1. Energy,,,
4.  Other sectors,6857.2989085,12.68357789,0.99616854,Summary1.As1,BLR,2006,Subsector,1. Energy,,,
5.  Other,1668.80188,0.4313995,0.01136439,Summary1.As1,BLR,2006,Subsector,1. Energy,,,
B. Fugitive emissions from fuels,6.62034818905496,115.44278198155963,8.9756e-07,Summary1.As1,BLR,2006,Subsector,1. Energy,,,
2.  Oil and natural gas and other emissions from energy production,6.62034818905496,115.44278198155963,8.9756e-07,Summary1.As1,BLR,2006,Subsector,1. Energy,,,
A.  Mineral industry,2488.1790563423097,,,Summary1.As1,BLR,2006,Subsector,1. Energy,,,
C.  Metal industry,183.728,2.06694,,Summary1.As1,BLR,2006,Subsector,2.  Industrial processes and product use,,,
D.  Non-energy products from fuels and solvent use ,12.05908899653333,,,Summary1.As1,BLR,2006,Subsector,2.  Industrial processes and product use,,,
E.  Electronic industry ,,,,Summary1.As1,BLR,2006,Subsector,2.  Industrial processes and product use,3.006642143826,18.20376072575017,0.000202597092
F.  Product uses as substitutes for ODS,,,,Summary1.As1,BLR,2006,Subsector,2.  Industrial processes and product use,34.89180552516491,,
G.  Other product manufacture and use ,,,0.217,Summary1.As1,BLR,2006,Subsector,2.  Industrial processes and product use,,,1.956e-05
H.  Other(3),,,,Summary1.As1,BLR,2006,Subsector,2.  Industrial processes and product use,,,
A. Fuel combustion     Reference approach(2),52685.99609355307,,,Summary1.As1,BLR,2007,Subsector,1. Energy,,,
                                           Sectoral approach(2),54143.257036,16.21214906445,1.9375483818,Summary1.As1,BLR,2007,Subsector,1. Energy,,,
1.  Energy industries,32071.5235775,1.17998747,0.156890954,Summary1.As1,BLR,2007,Subsector,1. Energy,,,
2.  Manufacturing industries and construction                          ,4108.86267,0.15463274,0.020803196,Summary1.As1,BLR,2007,Subsector,1. Energy,,,
3.  Transport,9281.328732,1.94011240945,0.7149758018,Summary1.As1,BLR,2007,Subsector,1. Energy,,,
4.  Other sectors,6929.9512685,12.205345345,1.031972616,Summary1.As1,BLR,2007,Subsector,1. Energy,,,
5.  Other,1751.590788,0.7320711,0.012905814,Summary1.As1,BLR,2007,Subsector,1. Energy,,,
B. Fugitive emissions from fuels,6.55614646777789,112.64418001115595,8.284e-07,Summary1.As1,BLR,2007,Subsector,1. Energy,,,
2.  Oil and natural gas and other emissions from energy production,6.55614646777789,112.64418001115595,8.284e-07,Summary1.As1,BLR,2007,Subsector,1. Energy,,,
A.  Mineral industry,2623.6962826710046,,,Summary1.As1,BLR,2007,Subsector,1. Energy,,,
C.  Metal industry,190.992,2.14866,,Summary1.As1,BLR,2007,Subsector,2.  Industrial processes and product use,,,
D.  Non-energy products from fuels and solvent use ,12.93443765386666,,,Summary1.As1,BLR,2007,Subsector,2.  Industrial processes and product use,,,
E.  Electronic industry ,,,,Summary1.As1,BLR,2007,Subsector,2.  Industrial processes and product use,2.919200136966,17.67434176129926,0.000196704972
F.  Product uses as substitutes for ODS,,,,Summary1.As1,BLR,2007,Subsector,2.  Industrial processes and product use,42.95107240046285,,
G.  Other product manufacture and use ,,,0.234,Summary1.As1,BLR,2007,Subsector,2.  Industrial processes and product use,,,2.3745e-05
H.  Other(3),,,,Summary1.As1,BLR,2007,Subsector,2.  Industrial processes and product use,,,
A. Fuel combustion     Reference approach(2),52666.79139259707,,,Summary1.As1,BLR,2008,Subsector,1. Energy,,,
                                           Sectoral approach(2),56660.998458,15.63470820445,2.1536871058,Summary1.As1,BLR,2008,Subsector,1. Energy,,,
1.  Energy industries,32990.0226825,1.25311739,0.167385026,Summary1.As1,BLR,2008,Subsector,1. Energy,,,
2.  Manufacturing industries and construction                          ,4300.199265,0.16317054,0.021782026,Summary1.As1,BLR,2008,Subsector,1. Energy,,,
3.  Transport,10546.244227,2.06890193445,0.8511889938,Summary1.As1,BLR,2008,Subsector,1. Energy,,,
4.  Other sectors,7217.9469485,11.57368024,1.101459042,Summary1.As1,BLR,2008,Subsector,1. Energy,,,
5.  Other,1606.585335,0.5758381,0.011872018,Summary1.As1,BLR,2008,Subsector,1. Energy,,,
B. Fugitive emissions from fuels,6.54876213913718,114.2100897624312,8.2764e-07,Summary1.As1,BLR,2008,Subsector,1. Energy,,,
2.  Oil and natural gas and other emissions from energy production,6.54876213913718,114.2100897624312,8.2764e-07,Summary1.As1,BLR,2008,Subsector,1. Energy,,,
A.  Mineral industry,2807.4559635919272,,,Summary1.As1,BLR,2008,Subsector,1. Energy,,,
C.  Metal industry,212.84,2.39445,,Summary1.As1,BLR,2008,Subsector,2.  Industrial processes and product use,,,
D.  Non-energy products from fuels and solvent use ,13.8841566864,,,Summary1.As1,BLR,2008,Subsector,2.  Industrial processes and product use,,,
E.  Electronic industry ,,,,Summary1.As1,BLR,2008,Subsector,2.  Industrial processes and product use,2.831758130106,17.14492279684834,0.000190812852
F.  Product uses as substitutes for ODS,,,,Summary1.As1,BLR,2008,Subsector,2.  Industrial processes and product use,50.29307985114285,,
G.  Other product manufacture and use ,,,0.206,Summary1.As1,BLR,2008,Subsector,2.  Industrial processes and product use,,,5.4975e-05
H.  Other(3),,,,Summary1.As1,BLR,2008,Subsector,2.  Industrial processes and product use,,,
A. Fuel combustion     Reference approach(2),51591.99998879769,,,Summary1.As1,BLR,2009,Subsector,1. Energy,,,
                                           Sectoral approach(2),54602.288601,15.35151683445,1.8650799158,Summary1.As1,BLR,2009,Subsector,1. Energy,,,
1.  Energy industries,32147.2779875,1.42323787,0.20907474,Summary1.As1,BLR,2009,Subsector,1. Energy,,,
2.  Manufacturing industries and construction                          ,3756.0258905,0.13856221,0.017992326,Summary1.As1,BLR,2009,Subsector,1. Energy,,,
3.  Transport,10346.548319,2.06719206445,0.6877705938,Summary1.As1,BLR,2009,Subsector,1. Energy,,,
4.  Other sectors,6862.4244995,10.96295299,0.938711434,Summary1.As1,BLR,2009,Subsector,1. Energy,,,
5.  Other,1490.0119044999997,0.7595717,0.011530822,Summary1.As1,BLR,2009,Subsector,1. Energy,,,
B. Fugitive emissions from fuels,6.15891771747564,107.41502001183486,8.284e-07,Summary1.As1,BLR,2009,Subsector,1. Energy,,,
2.  Oil and natural gas and other emissions from energy production,6.15891771747564,107.41502001183486,8.284e-07,Summary1.As1,BLR,2009,Subsector,1. Energy,,,
A.  Mineral industry,2722.62371261334,,,Summary1.As1,BLR,2009,Subsector,1. Energy,,,
C.  Metal industry,195.952,2.20446,,Summary1.As1,BLR,2009,Subsector,2.  Industrial processes and product use,,,
D.  Non-energy products from fuels and solvent use ,9.65804853493333,,,Summary1.As1,BLR,2009,Subsector,2.  Industrial processes and product use,,,
E.  Electronic industry ,,,,Summary1.As1,BLR,2009,Subsector,2.  Industrial processes and product use,2.744316123246,16.61550383239742,0.000184920732
F.  Product uses as substitutes for ODS,,,,Summary1.As1,BLR,2009,Subsector,2.  Industrial processes and product use,62.52160523588285,,
G.  Other product manufacture and use ,,,0.206,Summary1.As1,BLR,2009,Subsector,2.  Industrial processes and product use,,,6.37255e-05
H.  Other(3),,,,Summary1.As1,BLR,2009,Subsector,2.  Industrial processes and product use,,,
A. Fuel combustion     Reference approach(2),49941.214827627664,,,Summary1.As1,BLR,2010,Subsector,1. Energy,,,
                                           Sectoral approach(2),56136.520184500005,16.38362124445,1.7937203518,Summary1.As1,BLR,2010,Subsector,1. Energy,,,
1.  Energy industries,32934.33376650001,1.37573579,0.184421484,Summary1.As1,BLR,2010,Subsector,1. Energy,,,
2.  Manufacturing industries and construction                          ,4120.359287,0.1479072,0.019319746,Summary1.As1,BLR,2010,Subsector,1. Energy,,,
3.  Transport,10861.853993,2.10429031445,0.6920272098,Summary1.As1,BLR,2010,Subsector,1. Energy,,,
4.  Other sectors,7008.6529435,12.00850424,0.888578794,Summary1.As1,BLR,2010,Subsector,1. Energy,,,
5.  Other,1211.3201945,0.7471837,0.009373118,Summary1.As1,BLR,2010,Subsector,1. Energy,,,
B. Fugitive emissions from fuels,6.48782963809241,113.15690675853212,8.1244e-07,Summary1.As1,BLR,2010,Subsector,1. Energy,,,
2.  Oil and natural gas and other emissions from energy production,6.48782963809241,113.15690675853212,8.1244e-07,Summary1.As1,BLR,2010,Subsector,1. Energy,,,
A.  Mineral industry,2828.877149796422,,,Summary1.As1,BLR,2010,Subsector,1. Energy,,,
C.  Metal industry,213.728,2.40444,,Summary1.As1,BLR,2010,Subsector,2.  Industrial processes and product use,,,
D.  Non-energy products from fuels and solvent use ,10.62356707866666,,,Summary1.As1,BLR,2010,Subsector,2.  Industrial processes and product use,,,
E.  Electronic industry ,,,,Summary1.As1,BLR,2010,Subsector,2.  Industrial processes and product use,2.656874116386,16.08608486794651,0.000179028612
F.  Product uses as substitutes for ODS,,,,Summary1.As1,BLR,2010,Subsector,2.  Industrial processes and product use,77.97705639541284,,
G.  Other product manufacture and use ,,,0.394,Summary1.As1,BLR,2010,Subsector,2.  Industrial processes and product use,,,9.1985e-05
H.  Other(3),,,,Summary1.As1,BLR,2010,Subsector,2.  Industrial processes and product use,,,
A. Fuel combustion     Reference approach(2),50898.03989319501,,,Summary1.As1,BLR,2011,Subsector,1. Energy,,,
                                           Sectoral approach(2),55119.7900395,16.77823883445,1.9380675698,Summary1.As1,BLR,2011,Subsector,1. Energy,,,
1.  Energy industries,30833.7389935,1.37458071,0.183298682,Summary1.As1,BLR,2011,Subsector,1. Energy,,,
2.  Manufacturing industries and construction                          ,4511.2455255,0.19015649,0.026192774,Summary1.As1,BLR,2011,Subsector,1. Energy,,,
3.  Transport,11345.038008,2.06565026945,0.7803404958,Summary1.As1,BLR,2011,Subsector,1. Energy,,,
4.  Other sectors,7124.3625625,12.541545865,0.938311128,Summary1.As1,BLR,2011,Subsector,1. Energy,,,
5.  Other,1305.40495,0.6063055,0.00992449,Summary1.As1,BLR,2011,Subsector,1. Energy,,,
B. Fugitive emissions from fuels,6.2947739030293,108.5959311516055,8.4892e-07,Summary1.As1,BLR,2011,Subsector,1. Energy,,,
2.  Oil and natural gas and other emissions from energy production,6.2947739030293,108.5959311516055,8.4892e-07,Summary1.As1,BLR,2011,Subsector,1. Energy,,,
A.  Mineral industry,2813.4714290093834,,,Summary1.As1,BLR,2011,Subsector,1. Energy,,,
C.  Metal industry,222.352,2.50146,,Summary1.As1,BLR,2011,Subsector,2.  Industrial processes and product use,,,
D.  Non-energy products from fuels and solvent use ,14.123540772,,,Summary1.As1,BLR,2011,Subsector,2.  Industrial processes and product use,,,
E.  Electronic industry ,,,,Summary1.As1,BLR,2011,Subsector,2.  Industrial processes and product use,2.569432109526,15.55666590349559,0.000173136492
F.  Product uses as substitutes for ODS,,,,Summary1.As1,BLR,2011,Subsector,2.  Industrial processes and product use,87.31226095574785,,
G.  Other product manufacture and use ,,,0.198,Summary1.As1,BLR,2011,Subsector,2.  Industrial processes and product use,,,0.000101035
H.  Other(3),,,,Summary1.As1,BLR,2011,Subsector,2.  Industrial processes and product use,,,
A. Fuel combustion     Reference approach(2),62546.340977726126,,,Summary1.As1,BLR,2012,Subsector,1. Energy,,,
                                           Sectoral approach(2),56217.1183415,14.93248901865,1.411612435,Summary1.As1,BLR,2012,Subsector,1. Energy,,,
1.  Energy industries,32981.90625825,1.4284762133,0.21300018264,Summary1.As1,BLR,2012,Subsector,1. Energy,,,
2.  Manufacturing industries and construction                          ,4746.71261605,0.2589171109,0.03602204932,Summary1.As1,BLR,2012,Subsector,1. Energy,,,
3.  Transport,11174.28025,2.23889017395,0.6322636508,Summary1.As1,BLR,2012,Subsector,1. Energy,,,
4.  Other sectors,6049.1417252,10.5079197805,0.52108769304,Summary1.As1,BLR,2012,Subsector,1. Energy,,,
5.  Other,1265.077492,0.49828574,0.0092388592,Summary1.As1,BLR,2012,Subsector,1. Energy,,,
B. Fugitive emissions from fuels,6.26048317154058,110.23319022733946,8.1244e-07,Summary1.As1,BLR,2012,Subsector,1. Energy,,,
2.  Oil and natural gas and other emissions from energy production,6.26048317154058,110.23319022733946,8.1244e-07,Summary1.As1,BLR,2012,Subsector,1. Energy,,,
A.  Mineral industry,2954.162481927012,,,Summary1.As1,BLR,2012,Subsector,1. Energy,,,
C.  Metal industry,229.54984,2.5824357,,Summary1.As1,BLR,2012,Subsector,2.  Industrial processes and product use,,,
D.  Non-energy products from fuels and solvent use ,15.5239516168,,,Summary1.As1,BLR,2012,Subsector,2.  Industrial processes and product use,,,
E.  Electronic industry ,,,,Summary1.As1,BLR,2012,Subsector,2.  Industrial processes and product use,2.481990102666,15.02724693904467,0.000167244372
F.  Product uses as substitutes for ODS,,,,Summary1.As1,BLR,2012,Subsector,2.  Industrial processes and product use,110.55856910177285,,
G.  Other product manufacture and use ,,,0.208,Summary1.As1,BLR,2012,Subsector,2.  Industrial processes and product use,,,0.000107895
H.  Other(3),,,,Summary1.As1,BLR,2012,Subsector,2.  Industrial processes and product use,,,
A. Fuel combustion     Reference approach(2),54269.302865948135,,,Summary1.As1,BLR,2013,Subsector,1. Energy,,,
                                           Sectoral approach(2),58002.6475037,13.47272772435,1.8698483447,Summary1.As1,BLR,2013,Subsector,1. Energy,,,
1.  Energy industries,32435.5133046,1.295279026,0.1862756267,Summary1.As1,BLR,2013,Subsector,1. Energy,,,
2.  Manufacturing industries and construction                          ,5114.4104956,0.315473444,0.0451620154,Summary1.As1,BLR,2013,Subsector,1. Energy,,,
3.  Transport,12358.938043,2.30242995435,0.8007833094,Summary1.As1,BLR,2013,Subsector,1. Energy,,,
4.  Other sectors,6843.0225065,9.12447329,0.828511566,Summary1.As1,BLR,2013,Subsector,1. Energy,,,
5.  Other,1250.7631540000004,0.43507201,0.0091158272,Summary1.As1,BLR,2013,Subsector,1. Energy,,,
B. Fugitive emissions from fuels,6.23184848892342,107.30020547963302,8.2764e-07,Summary1.As1,BLR,2013,Subsector,1. Energy,,,
2.  Oil and natural gas and other emissions from energy production,6.23184848892342,107.30020547963302,8.2764e-07,Summary1.As1,BLR,2013,Subsector,1. Energy,,,
A.  Mineral industry,3179.1933221800086,,,Summary1.As1,BLR,2013,Subsector,1. Energy,,,
C.  Metal industry,191.55912,2.1550401,,Summary1.As1,BLR,2013,Subsector,2.  Industrial processes and product use,,,
D.  Non-energy products from fuels and solvent use ,28.3430530944,,,Summary1.As1,BLR,2013,Subsector,2.  Industrial processes and product use,,,
E.  Electronic industry ,,,,Summary1.As1,BLR,2013,Subsector,2.  Industrial processes and product use,2.394548095806,14.49782797459376,0.000161352252
F.  Product uses as substitutes for ODS,,,,Summary1.As1,BLR,2013,Subsector,2.  Industrial processes and product use,123.31575995013785,,
G.  Other product manufacture and use ,,,0.175,Summary1.As1,BLR,2013,Subsector,2.  Industrial processes and product use,,,0.000110126
H.  Other(3),,,,Summary1.As1,BLR,2013,Subsector,2.  Industrial processes and product use,,,
A. Fuel combustion     Reference approach(2),55462.76801514983,,,Summary1.As1,BLR,2014,Subsector,1. Energy,,,
                                           Sectoral approach(2),57001.3486812,12.07057523585,1.8072832975,Summary1.As1,BLR,2014,Subsector,1. Energy,,,
1.  Energy industries,32190.8941308,1.301166895,0.1810844285,Summary1.As1,BLR,2014,Subsector,1. Energy,,,
2.  Manufacturing industries and construction                          ,5221.3161459,0.359182198,0.0517272977,Summary1.As1,BLR,2014,Subsector,1. Energy,,,
3.  Transport,11691.44863,2.25624923485,0.7373815094,Summary1.As1,BLR,2014,Subsector,1. Energy,,,
4.  Other sectors,6553.5806045,7.765338443,0.8272399208,Summary1.As1,BLR,2014,Subsector,1. Energy,,,
5.  Other,1344.1091700000006,0.388638465,0.0098501411,Summary1.As1,BLR,2014,Subsector,1. Energy,,,
B. Fugitive emissions from fuels,6.18825399664094,109.86817567,5.8064e-07,Summary1.As1,BLR,2014,Subsector,1. Energy,,,
2.  Oil and natural gas and other emissions from energy production,6.18825399664094,109.86817567,5.8064e-07,Summary1.As1,BLR,2014,Subsector,1. Energy,,,
A.  Mineral industry,3434.6671569920723,,,Summary1.As1,BLR,2014,Subsector,1. Energy,,,
C.  Metal industry,207.82456,2.3380263,,Summary1.As1,BLR,2014,Subsector,2.  Industrial processes and product use,,,
D.  Non-energy products from fuels and solvent use ,36.5627061976,,,Summary1.As1,BLR,2014,Subsector,2.  Industrial processes and product use,,,
E.  Electronic industry ,,,,Summary1.As1,BLR,2014,Subsector,2.  Industrial processes and product use,2.307106088946,13.96840901014284,0.000155460132
F.  Product uses as substitutes for ODS,,,,Summary1.As1,BLR,2014,Subsector,2.  Industrial processes and product use,144.42378580379915,,
G.  Other product manufacture and use ,,,0.173,Summary1.As1,BLR,2014,Subsector,2.  Industrial processes and product use,,,0.000106445
H.  Other(3),,,,Summary1.As1,BLR,2014,Subsector,2.  Industrial processes and product use,,,
A. Fuel combustion     Reference approach(2),49264.0329452965,,,Summary1.As1,BLR,2015,Subsector,1. Energy,,,
                                           Sectoral approach(2),52783.591626,10.91043177095,1.6777814317,Summary1.As1,BLR,2015,Subsector,1. Energy,,,
1.  Energy industries,30434.4226005,1.275176444,0.175752866,Summary1.As1,BLR,2015,Subsector,1. Energy,,,
2.  Manufacturing industries and construction                          ,4397.464086,0.326450893,0.0475126203,Summary1.As1,BLR,2015,Subsector,1. Energy,,,
3.  Transport,10514.427938,2.13508559095,0.6678410558,Summary1.As1,BLR,2015,Subsector,1. Energy,,,
4.  Other sectors,6171.1380885,6.794200743,0.7769304056,Summary1.As1,BLR,2015,Subsector,1. Energy,,,
5.  Other,1266.1389130000016,0.3795181,0.009744484,Summary1.As1,BLR,2015,Subsector,1. Energy,,,
B. Fugitive emissions from fuels,6.09985742758601,107.00504303423396,1.064798e-06,Summary1.As1,BLR,2015,Subsector,1. Energy,,,
2.  Oil and natural gas and other emissions from energy production,6.09985742758601,107.00504303423396,1.064798e-06,Summary1.As1,BLR,2015,Subsector,1. Energy,,,
A.  Mineral industry,2915.8405695866727,,,Summary1.As1,BLR,2015,Subsector,1. Energy,,,
C.  Metal industry,206.27768,2.3206239,,Summary1.As1,BLR,2015,Subsector,2.  Industrial processes and product use,,,
D.  Non-energy products from fuels and solvent use ,41.171305164,,,Summary1.As1,BLR,2015,Subsector,2.  Industrial processes and product use,,,
E.  Electronic industry ,,,,Summary1.As1,BLR,2015,Subsector,2.  Industrial processes and product use,2.29836188826,13.91546711369775,0.00015487092
F.  Product uses as substitutes for ODS,,,,Summary1.As1,BLR,2015,Subsector,2.  Industrial processes and product use,162.1235088344589,,
G.  Other product manufacture and use ,,,0.166,Summary1.As1,BLR,2015,Subsector,2.  Industrial processes and product use,,,0.00011031
H.  Other(3),,,,Summary1.As1,BLR,2015,Subsector,2.  Industrial processes and product use,,,
A. Fuel combustion     Reference approach(2),48370.66058110406,,,Summary1.As1,BLR,2016,Subsector,1. Energy,,,
                                           Sectoral approach(2),52476.4126732,10.87763681245,1.6549610277,Summary1.As1,BLR,2016,Subsector,1. Energy,,,
1.  Energy industries,29507.9359293,1.202309764,0.160925536,Summary1.As1,BLR,2016,Subsector,1. Energy,,,
2.  Manufacturing industries and construction                          ,4355.130494399999,0.297665711,0.0467017019,Summary1.As1,BLR,2016,Subsector,1. Energy,,,
3.  Transport,10929.861602,2.21538718445,0.6737160348,Summary1.As1,BLR,2016,Subsector,1. Energy,,,
4.  Other sectors,6475.365081,6.747681803,0.7639464986,Summary1.As1,BLR,2016,Subsector,1. Energy,,,
5.  Other,1208.1195665000014,0.41459235,0.0096712564,Summary1.As1,BLR,2016,Subsector,1. Energy,,,
B. Fugitive emissions from fuels,6.06295137698531,105.44103368301631,8.6177464e-07,Summary1.As1,BLR,2016,Subsector,1. Energy,,,
2.  Oil and natural gas and other emissions from energy production,6.06295137698531,105.44103368301631,8.6177464e-07,Summary1.As1,BLR,2016,Subsector,1. Energy,,,
A.  Mineral industry,2735.4029097892967,,,Summary1.As1,BLR,2016,Subsector,1. Energy,,,
C.  Metal industry,181.2414,2.039,,Summary1.As1,BLR,2016,Subsector,2.  Industrial processes and product use,,,
D.  Non-energy products from fuels and solvent use ,41.4789914616,,,Summary1.As1,BLR,2016,Subsector,2.  Industrial processes and product use,,,
E.  Electronic industry ,,,,Summary1.As1,BLR,2016,Subsector,2.  Industrial processes and product use,2.186816386515,13.24011317176975,0.00014735463
F.  Product uses as substitutes for ODS,,,,Summary1.As1,BLR,2016,Subsector,2.  Industrial processes and product use,170.1968585474571,,
G.  Other product manufacture and use ,,,0.149,Summary1.As1,BLR,2016,Subsector,2.  Industrial processes and product use,,,0.000120045
H.  Other(3),,,,Summary1.As1,BLR,2016,Subsector,2.  Industrial processes and product use,,,
A. Fuel combustion     Reference approach(2),49567.30163717786,,,Summary1.As1,BLR,2017,Subsector,1. Energy,,,
                                           Sectoral approach(2),53511.11497885,11.68747917645,1.8083689228,Summary1.As1,BLR,2017,Subsector,1. Energy,,,
1.  Energy industries,29759.12497505,1.232891633,0.1644158302,Summary1.As1,BLR,2017,Subsector,1. Energy,,,
2.  Manufacturing industries and construction                          ,4492.1905876,0.321951059,0.0501055624,Summary1.As1,BLR,2017,Subsector,1. Energy,,,
3.  Transport,11419.4331722,2.27315269245,0.7150403016,Summary1.As1,BLR,2017,Subsector,1. Energy,,,
4.  Other sectors,6724.0017054,7.442096362,0.86977538364,Summary1.As1,BLR,2017,Subsector,1. Energy,,,
5.  Other,1116.3645386000003,0.41738743,0.00903184496,Summary1.As1,BLR,2017,Subsector,1. Energy,,,
B. Fugitive emissions from fuels,6.10619404014033,109.4544871222854,7.1561068e-07,Summary1.As1,BLR,2017,Subsector,1. Energy,,,
2.  Oil and natural gas and other emissions from energy production,6.10619404014033,109.4544871222854,7.1561068e-07,Summary1.As1,BLR,2017,Subsector,1. Energy,,,
A.  Mineral industry,2755.9147990009187,,,Summary1.As1,BLR,2017,Subsector,1. Energy,,,
C.  Metal industry,194.6064,2.189,,Summary1.As1,BLR,2017,Subsector,2.  Industrial processes and product use,,,
D.  Non-energy products from fuels and solvent use ,37.70553790080001,,,Summary1.As1,BLR,2017,Subsector,2.  Industrial processes and product use,,,
E.  Electronic industry ,,,,Summary1.As1,BLR,2017,Subsector,2.  Industrial processes and product use,2.071302505389,12.54073261634235,0.000139570938
F.  Product uses as substitutes for ODS,,,,Summary1.As1,BLR,2017,Subsector,2.  Industrial processes and product use,176.9452058541911,,
G.  Other product manufacture and use ,,,0.148,Summary1.As1,BLR,2017,Subsector,2.  Industrial processes and product use,,,0.00012755
H.  Other(3),,,,Summary1.As1,BLR,2017,Subsector,2.  Industrial processes and product use,,,
A. Fuel combustion     Reference approach(2),51006.29514166959,,,Summary1.As1,BLR,2018,Subsector,1. Energy,,,
                                           Sectoral approach(2),56434.4566616,11.81606843885,1.89330177002,Summary1.As1,BLR,2018,Subsector,1. Energy,,,
1.  Energy industries,31899.665945300003,1.204154525,0.1596359012,Summary1.As1,BLR,2018,Subsector,1. Energy,,,
2.  Manufacturing industries and construction                          ,4556.07952485,0.3207825964,0.0501114136,Summary1.As1,BLR,2018,Subsector,1. Energy,,,
3.  Transport,12019.294145,2.33645129945,0.7511868658,Summary1.As1,BLR,2018,Subsector,1. Energy,,,
4.  Other sectors,6889.184842750001,7.499211363,0.9235163846,Summary1.As1,BLR,2018,Subsector,1. Energy,,,
5.  Other,1070.2322037,0.455468655,0.00885120482,Summary1.As1,BLR,2018,Subsector,1. Energy,,,
B. Fugitive emissions from fuels,6.28429260700755,110.14815143776929,8.335528e-07,Summary1.As1,BLR,2018,Subsector,1. Energy,,,
2.  Oil and natural gas and other emissions from energy production,6.28429260700755,110.14815143776929,8.335528e-07,Summary1.As1,BLR,2018,Subsector,1. Energy,,,
A.  Mineral industry,2695.780733754185,,,Summary1.As1,BLR,2018,Subsector,1. Energy,,,
C.  Metal industry,205.832,2.316,,Summary1.As1,BLR,2018,Subsector,2.  Industrial processes and product use,,,
D.  Non-energy products from fuels and solvent use ,38.28197626,,,Summary1.As1,BLR,2018,Subsector,2.  Industrial processes and product use,,,
E.  Electronic industry ,,,,Summary1.As1,BLR,2018,Subsector,2.  Industrial processes and product use,1.9582045834605,11.85597952273138,0.000131950041
F.  Product uses as substitutes for ODS,,,,Summary1.As1,BLR,2018,Subsector,2.  Industrial processes and product use,185.2042089195537,,
G.  Other product manufacture and use ,,,0.13609,Summary1.As1,BLR,2018,Subsector,2.  Industrial processes and product use,,,0.00015189
H.  Other(3),,,,Summary1.As1,BLR,2018,Subsector,2.  Industrial processes and product use,,,
