GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),Sheet,Country,Year,Level,Parent_Sector,HFCs(1) (kt CO2 equivalent),SF6 (kt)
5.  Other,0.57792,4e-06,1.6e-05,Summary1.As1,LITHUANIA,1993,Subsector,1. Energy,,
B. Fugitive emissions from fuels,48.03646216115275,9.4266684947768,6.059085581e-05,Summary1.As1,LITHUANIA,1993,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,48.03646216115275,9.4266684947768,6.059085581e-05,Summary1.As1,LITHUANIA,1993,Subsector,1. Energy,,
A.  Mineral industry,498.6335063680336,,,Summary1.As1,LITHUANIA,1993,Subsector,1. Energy,,
C.  Metal industry,5.42981651627791,,,Summary1.As1,LITHUANIA,1993,Subsector,2.  Industrial processes and product use,,
D.  Non-energy products from fuels and solvent use ,7.55333333333333,,,Summary1.As1,LITHUANIA,1993,Subsector,2.  Industrial processes and product use,,
F.  Product uses as substitutes for ODS,,,,Summary1.As1,LITHUANIA,1993,Subsector,2.  Industrial processes and product use,0.026132208,
G.  Other product manufacture and use ,,,0.30426932924427,Summary1.As1,LITHUANIA,1993,Subsector,2.  Industrial processes and product use,,
H.  Other(3),0.0022,,,Summary1.As1,LITHUANIA,1993,Subsector,2.  Industrial processes and product use,,
A. Fuel combustion     Reference approach(2),14768.032793333346,,,Summary1.As1,LITHUANIA,1994,Subsector,1. Energy,,
                                           Sectoral approach(2),14472.225606901316,6.5489931928186,0.66217830015917,Summary1.As1,LITHUANIA,1994,Subsector,1. Energy,,
1.  Energy industries,7216.283383749999,0.240703,0.0439784,Summary1.As1,LITHUANIA,1994,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,2023.232581711586,0.12675901741225,0.09216899774123,Summary1.As1,LITHUANIA,1994,Subsector,1. Energy,,
3.  Transport,2509.190211439729,0.70275157540635,0.21298730241794,Summary1.As1,LITHUANIA,1994,Subsector,1. Energy,,
4.  Other sectors,2722.79703,5.4787746,0.3130236,Summary1.As1,LITHUANIA,1994,Subsector,1. Energy,,
5.  Other,0.7224,5e-06,2e-05,Summary1.As1,LITHUANIA,1994,Subsector,1. Energy,,
B. Fugitive emissions from fuels,43.27311565856546,9.3981102318456,7.719109027e-05,Summary1.As1,LITHUANIA,1994,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,43.27311565856546,9.3981102318456,7.719109027e-05,Summary1.As1,LITHUANIA,1994,Subsector,1. Energy,,
A.  Mineral industry,481.6315190691136,,,Summary1.As1,LITHUANIA,1994,Subsector,1. Energy,,
C.  Metal industry,5.34918165488589,,,Summary1.As1,LITHUANIA,1994,Subsector,2.  Industrial processes and product use,,
D.  Non-energy products from fuels and solvent use ,8.15466666666667,,,Summary1.As1,LITHUANIA,1994,Subsector,2.  Industrial processes and product use,,
F.  Product uses as substitutes for ODS,,,,Summary1.As1,LITHUANIA,1994,Subsector,2.  Industrial processes and product use,0.088520076,
G.  Other product manufacture and use ,,,0.29820693761243,Summary1.As1,LITHUANIA,1994,Subsector,2.  Industrial processes and product use,,
