GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),Sheet,Country,Year,Level,Parent_Sector
A.  Enteric fermentation,,1528.1498177634,,Summary1.As2,FRANCE,1991,Subsector,3.  Agriculture
B.  Manure management,,224.11316022846356,14.34661661238764,Summary1.As2,FRANCE,1991,Subsector,3.  Agriculture
C.  Rice cultivation,,2.54750473476576,,Summary1.As2,FRANCE,1991,Subsector,3.  Agriculture
D.  Agricultural soils,,,84.27446593789544,Summary1.As2,FRANCE,1991,Subsector,3.  Agriculture
F.  Field burning of agricultural residues,,2.84172118873042,0.07367425304115,Summary1.As2,FRANCE,1991,Subsector,3.  Agriculture
G. Liming,891.072252893781,,,Summary1.As2,FRANCE,1991,Subsector,3.  Agriculture
H. Urea application,860.60975,,,Summary1.As2,FRANCE,1991,Subsector,3.  Agriculture
I.  Other carbon-contining fertilizers,142.429113095238,,,Summary1.As2,FRANCE,1991,Subsector,3.  Agriculture
A. Forest land (4),-37802.53644355324,23.1256479285,1.2830741251629,Summary1.As2,FRANCE,1991,Subsector,3.  Agriculture
