GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),Sheet,Country,Year,Level,Parent_Sector
C. Grassland (4),-7910.068341679174,6.455219251,0.23177737434657,Summary1.As2,FRANCE,1990,Subsector,"4.  Land use, land-use change and forestry  (4)"
D. Wetlands (4),288.1363031037336,0.2311130007,0.0129031875938,Summary1.As2,FRANCE,1990,Subsector,"4.  Land use, land-use change and forestry  (4)"
E. Settlements (4),4816.840977479671,1.6570804806,0.702392598644,Summary1.As2,FRANCE,1990,Subsector,"4.  Land use, land-use change and forestry  (4)"
F. Other land (4),90.38333333333343,0.01749024,0.015330626352,Summary1.As2,FRANCE,1990,Subsector,"4.  Land use, land-use change and forestry  (4)"
G. Harvested wood products ,-5239.61446088,,,Summary1.As2,FRANCE,1990,Subsector,"4.  Land use, land-use change and forestry  (4)"
H. Other  (4),,,,Summary1.As2,FRANCE,1990,Subsector,"4.  Land use, land-use change and forestry  (4)"
A.  Solid waste disposal (5),,472.633269260312,,Summary1.As2,FRANCE,1990,Subsector,"4.  Land use, land-use change and forestry  (4)"
