GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
D.  Non-energy products from fuels and solvent use ,123.264511756522,,,,,Summary1.As1,CROATIA,2006,Subsector,2.  Industrial processes and product use
F.  Product uses as substitutes for ODS,,,,244.72099198255,,Summary1.As1,CROATIA,2006,Subsector,2.  Industrial processes and product use
G.  Other product manufacture and use ,,,0.1034,,0.000619937,Summary1.As1,CROATIA,2006,Subsector,2.  Industrial processes and product use
H.  Other(3),,,,,,Summary1.As1,CROATIA,2006,Subsector,2.  Industrial processes and product use
