GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),13900.57827257471,,,,Summary1.As1,CROATIA,1994,Subsector,1. Energy
                                           Sectoral approach(2),13474.853160809755,14.4335471935983,0.63643595712373,,Summary1.As1,CROATIA,1994,Subsector,1. Energy
1.  Energy industries,4658.423995794363,0.13165724061279,0.040518405679,,Summary1.As1,CROATIA,1994,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,3077.5100491939997,0.19022808272,0.028421280967,,Summary1.As1,CROATIA,1994,Subsector,1. Energy
3.  Transport,3102.932510613256,1.22287322236744,0.16976823852152,,Summary1.As1,CROATIA,1994,Subsector,1. Energy
4.  Other sectors,2635.9866052081356,12.88878864789807,0.39772803195621,,Summary1.As1,CROATIA,1994,Subsector,1. Energy
B. Fugitive emissions from fuels,705.0741154782412,11.74312003796511,0.00139471311628,,Summary1.As1,CROATIA,1994,Subsector,1. Energy
1.  Solid fuels,,1.417520675,,,Summary1.As1,CROATIA,1994,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,705.0741154782412,10.32559936296511,0.00139471311628,,Summary1.As1,CROATIA,1994,Subsector,1. Energy
A.  Mineral industry,953.709142159345,,,,Summary1.As1,CROATIA,1994,Subsector,1. Energy
