GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),15380.285184370374,,,,,Summary1.As1,CROATIA,2021,Subsector,1. Energy
                                           Sectoral approach(2),15189.97581217992,15.36975580864095,0.76611928649724,,,Summary1.As1,CROATIA,2021,Subsector,1. Energy
1.  Energy industries,3718.34548515512,0.46609096793035,0.09543051292603,,,Summary1.As1,CROATIA,2021,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,2418.0554476,0.185679305,0.026797233,,,Summary1.As1,CROATIA,2021,Subsector,1. Energy
3.  Transport,6194.9844084258775,0.34777751191034,0.21575562621919,,,Summary1.As1,CROATIA,2021,Subsector,1. Energy
4.  Other sectors,2858.590470998923,14.37020802380026,0.42813591435202,,,Summary1.As1,CROATIA,2021,Subsector,1. Energy
B. Fugitive emissions from fuels,283.9228697683942,5.88911115668721,0.00051332203954,,,Summary1.As1,CROATIA,2021,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,283.9228697683942,5.88911115668721,0.00051332203954,,,Summary1.As1,CROATIA,2021,Subsector,1. Energy
A.  Mineral industry,1372.2570025312277,,,,,Summary1.As1,CROATIA,2021,Subsector,1. Energy
B.  Chemical industry,365.49260645906674,,0.13688679245283,,,Summary1.As1,CROATIA,2021,Subsector,1. Energy
